ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,section,section_target_pct,layer,portfolio_weight,thesis
RSG,2026-07-25T05:39:45.972170+00:00,16695000000.0,66735419392.0,3.9973297030248576,4.0126820362657645,4.056884966667584,4.083406724908676,18036395150.0,0.08034711889787371,3.70004198937724,16631125713.141363,-0.0038259530912631012,-0.08417307198913682,0.0,100.0,Forward Expectations Stretched,4.0126820362657645,Historical Median Tactical Anchor,low,2,quarterly,0.4200658879904163,0.20047918538484577,0.1299191374663073,2.7245952798907744,5.7213675213675215,2594000000.0,0.1553758610362384,1.1959428307976026,Solid,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
VRT,2026-07-25T05:39:45.972170+00:00,10843400000.0,111529828352.0,10.285503472342624,7.89116380925238,8.57249407270648,8.98129223077894,17869199440.0,0.6479332534076028,6.241456352115123,14133508193.206102,0.30342034723482514,-0.34451290617277763,0.5304909159153943,0.0,Forward Expectations Manageable,7.89116380925238,Historical Median Tactical Anchor,low,2,quarterly,0.37150709187155323,0.1877086522677389,0.14371875979858717,0.4812143720849888,23.63995354239257,2275700000.0,0.209869598096538,1.4602797741273101,Solid,INFRA,0.14,Layer 3: Tech-Adjacent,0.005600000000000001,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
BE,2026-07-25T05:39:45.972170+00:00,2449027000.0,52590825472.0,21.474171363566022,15.175151946111752,15.463994486556558,15.637300010823443,6464053910.0,1.6394375848040874,8.135889057274277,3465588065.197269,0.41508773288218914,-1.2243498519218983,0.3577207339448805,0.0,Forward Expectations Manageable,15.175151946111752,Historical Median Tactical Anchor,low,2,quarterly,0.29572438360214076,0.06699068650529373,0.0024634273121529487,4.062846744485376,3.4122002454191884,229559000.0,0.0937347771176063,38.0505552792972,Watch: high leverage,INFRA,0.14,Layer 3: Tech-Adjacent,0.005600000000000001,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
ANET,2026-07-25T05:39:45.972170+00:00,9709900000.0,219082899456.0,22.562837872274688,17.804759087390877,18.493275213846793,18.906384889720346,14378342230.0,0.48079199888773316,15.237006878226182,12304738209.636993,0.2672363474018262,-0.21355565148590694,0.6032915255627761,0.0,Forward Expectations Manageable,17.804759087390877,Historical Median Tactical Anchor,low,2,quarterly,0.6353721459541293,0.4279240774879247,0.3831656350734817,,,5278100000.0,0.5435792335657422,1.4186534068001613,Solid,INFRA,0.14,Layer 3: Tech-Adjacent,0.005600000000000001,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
FTNT,2026-07-25T05:39:45.972170+00:00,7109500000.0,111633629184.0,15.702036596666431,8.451410725113194,8.478147223087142,8.49418912187151,8643998110.0,0.21583769744707793,12.914582784886797,13208875158.827976,0.8579190039845244,0.6420813065374464,3.1696596206186656,74.841716240736,Forward Expectations Stretched,8.451410725113194,Historical Median Tactical Anchor,low,2,quarterly,0.8030381883395457,0.3109782685139602,0.27491384766861243,-0.665536244171259,113.9639175257732,2435500000.0,0.3425698009705324,1.2460987464824764,Solid,INFRA,0.14,Layer 3: Tech-Adjacent,0.005600000000000001,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
CRWD,2026-07-25T05:39:45.972170+00:00,5094200000.0,186626555904.0,36.635105787758626,21.882724046719314,22.847821660187023,23.42688022826765,7236243030.0,0.42048663774488637,25.790531789809165,8528488295.403939,0.6741565496847275,0.2536699119398411,1.4681202201383117,37.62774567101233,Forward Expectations Elevated,21.882724046719314,Historical Median Tactical Anchor,low,2,quarterly,0.750291900592831,-0.03911036080248125,-0.004813513407404499,-11.148531239542999,-7.265553205455474,1431313000.0,0.28096914137646734,-58.370906569878876,Watch: unprofitable,INFRA,0.14,Layer 3: Tech-Adjacent,0.005600000000000001,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
FNV,2026-07-25T05:39:45.972170+00:00,2105100000.0,41402224640.0,19.667580941522967,22.97675887710115,23.2696885892666,23.44544641656587,2882215430.0,0.3691584390290248,14.364722431591451,1801917531.6002398,-0.1440228342595412,-0.513181273288566,0.0,100.0,Forward Expectations Stretched,22.97675887710115,Historical Median Tactical Anchor,low,2,quarterly,0.7658068500308773,0.7454752743337608,0.651227970167688,,3923.25,-423200000.0,-0.20103558025746995,-0.30870231234955137,Watch: cash burning,ENERGY & COMMODITY,0.18,Layer 1: Monetary Royalties,0.036,Precious metals streaming and asset-light gold/silver royalty engines.
WPM,2026-07-25T05:39:45.972170+00:00,2745658000.0,50625867776.0,18.438519209602944,23.02654718990633,23.345957259318578,23.537603300965923,4250329610.0,0.5480185842519352,11.911045123862758,2198587020.384533,-0.19924949852292861,-0.7472680827748638,0.0,100.0,Forward Expectations Stretched,23.02654718990633,Historical Median Tactical Anchor,low,2,quarterly,0.7473399818914082,0.7159482353592472,0.6555000659222671,-0.8993133532528159,4467.611363636363,1003225000.0,0.36538600218963907,0.5574156604783143,Solid,ENERGY & COMMODITY,0.18,Layer 1: Monetary Royalties,0.036,Precious metals streaming and asset-light gold/silver royalty engines.
CCJ,2026-07-25T05:39:45.972170+00:00,3537866000.0,38265929728.0,10.816104885826654,13.193844070323964,13.525950325174364,13.725214078084603,3998445320.0,0.13018563167740105,9.570202082443384,2900286643.076904,-0.18021580153773387,-0.3104014332151349,0.0,100.0,Forward Expectations Stretched,13.193844070323964,Historical Median Tactical Anchor,low,2,quarterly,0.28314271936811625,0.1743833712186951,0.18388599229026764,-0.06392007549871456,5.480788877537423,921659000.0,0.26051269324502396,1.4167076567409203,Solid,ENERGY & COMMODITY,0.18,Layer 2: Baseload Energy,0.011999999999999999,"Uranium pure-plays for nuclear baseload, oil sands, natural gas, and integrated global supermajors."
CNQ,2026-07-25T05:39:45.972170+00:00,44167000000.0,96860364800.0,2.1930483120882105,1.477233291783682,1.4847933503046682,1.4893293854172602,41340395680.0,-0.0639981053727896,2.3429955907959514,65568766516.929886,0.4845646414048925,0.5485627467776821,,100.0,Forward Expectations Stretched,1.477233291783682,Historical Median Tactical Anchor,low,2,quarterly,0.21285122376434895,0.18624765096112483,0.24497928317522133,0.6796538641885843,9.863309352517986,6582000000.0,0.14902529037516699,0.6083179297597042,Solid,ENERGY & COMMODITY,0.18,Layer 2: Baseload Energy,0.011999999999999999,"Uranium pure-plays for nuclear baseload, oil sands, natural gas, and integrated global supermajors."
